action_taken,derived_race,derived_ethnicity,applicant_sex,applicant_age,income,debt_to_income_ratio,applicant_credit_score_type,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,loan_type,loan_purpose,lien_status,property_value,occupancy_type,tract_minority_population_percent,aus-1,denial_reason-1
4,White,Not Hispanic or Latino,1,65-74,177.0,,9,145000.0,,,,1,1,1,,1,14.22,1,10
4,White,Not Hispanic or Latino,1,35-44,307.0,,9,565000.0,,,,1,1,1,,1,13.74,1,10
2,White,Not Hispanic or Latino,1,25-34,189.0,30%-<36%,3,455000.0,87.0,7.25,-0.31,1,1,1,525000,1,22.45,1,10
3,Asian,Not Hispanic or Latino,1,35-44,185.0,30%-<36%,2,395000.0,114.0,,,1,1,1,355000,1,86.57,1,4
3,Asian,Hispanic or Latino,1,45-54,78.0,<20%,9,115000.0,88.0,,,1,1,1,125000,1,22.13,5,4
1,White,Not Hispanic or Latino,1,55-64,127.0,50%-60%,6,205000.0,50.0,6.25,,1,1,1,405000,3,34.93,6,10
1,White,Not Hispanic or Latino,1,55-64,8.0,>60%,2,205000.0,43.4,7.0,,1,1,1,475000,3,18.81,6,10
1,White,Hispanic or Latino,1,35-44,84.0,30%-<36%,9,225000.0,80.0,5.875,-0.196,1,1,1,285000,1,29.58,2,10
4,White,Hispanic or Latino,2,25-34,145.0,,9,255000.0,,,,1,1,1,,1,31.03,2,10
4,White,Joint,1,45-54,105.0,,9,265000.0,,,,2,1,1,,1,35.04,1,10
1,White,Hispanic or Latino,1,25-34,77.0,39,1,235000.0,97.0,6.99,1.303,1,1,1,245000,1,46.63,1,10
1,White,Not Hispanic or Latino,1,35-44,145.0,45,2,415000.0,95.0,6.25,-0.13,1,1,1,445000,1,20.03,2,10
1,White,Hispanic or Latino,2,35-44,107.0,44,9,315000.0,95.0,6.5,0.182,1,1,1,325000,1,35.04,1,10
1,White,Not Hispanic or Latino,2,35-44,132.0,38,3,365000.0,96.5,6.25,0.451,2,1,1,375000,1,38.24,1,10
1,White,Joint,1,35-44,162.0,49,2,485000.0,80.0,6.5,0.239,1,1,1,605000,1,13.87,1,10
1,White,Not Hispanic or Latino,2,25-34,163.0,41,9,385000.0,80.0,6.75,0.527,1,1,1,475000,1,29.58,2,10
1,White,Hispanic or Latino,1,25-34,149.0,30%-<36%,1,385000.0,96.5,7.125,2.196,2,1,1,395000,1,26.63,1,10
4,White,Not Hispanic or Latino,2,<25,61.0,,9,165000.0,,,,2,1,1,,1,21.82,1,10
1,White,Not Hispanic or Latino,1,45-54,377.0,20%-<30%,3,575000.0,80.0,6.624,0.218,1,1,1,725000,1,13.74,2,10
1,White,Not Hispanic or Latino,2,35-44,161.0,20%-<30%,2,295000.0,95.0,6.625,1.08,1,1,1,315000,1,42.03,1,10
1,Black or African American,Not Hispanic or Latino,1,25-34,80.0,47,3,325000.0,100.0,7.25,1.2,3,1,1,325000,1,63.55,1,10
1,White,Hispanic or Latino,2,35-44,211.0,36,3,725000.0,85.0,6.5,-0.295,1,1,1,855000,1,15.57,2,10
1,White,Not Hispanic or Latino,2,45-54,154.0,43,9,305000.0,80.0,8.125,1.679,1,1,1,375000,1,78.45,2,10
3,White,Hispanic or Latino,1,45-54,130.0,50%-60%,3,615000.0,90.0,,,3,1,1,685000,1,26.6,1,6
3,White,Not Hispanic or Latino,1,35-44,68.0,45,2,205000.0,95.0,,,2,1,1,215000,1,34.8,1,9
1,White,Joint,1,35-44,173.0,49,3,465000.0,95.0,6.875,0.473,1,1,1,495000,1,26.6,2,10
1,White,Hispanic or Latino,1,25-34,163.0,39,1,555000.0,90.0,7.125,0.028,1,1,1,615000,1,13.74,2,10
1,White,Not Hispanic or Latino,2,35-44,135.0,46,9,515000.0,78.462,7.125,-0.558,1,1,1,655000,1,22.13,2,10
1,White,Joint,2,55-64,201.0,30%-<36%,1,195000.0,71.428,8.625,,1,1,1,275000,3,29.37,2,10
1,White,Ethnicity Not Available,1,35-44,176.0,38,2,415000.0,95.0,7.5,0.856,2,1,1,435000,1,24.38,1,10
3,White,Not Hispanic or Latino,1,25-34,19.0,49,1,295000.0,75.0,,,1,1,1,365000,3,25.57,6,1
1,White,Not Hispanic or Latino,2,25-34,167.0,37,3,405000.0,80.0,7.125,0.502,1,1,1,505000,1,29.83,2,10
1,White,Not Hispanic or Latino,1,55-64,254.0,30%-<36%,2,155000.0,23.548,6.25,-0.026,1,1,1,635000,1,20.95,1,10
1,Black or African American,Hispanic or Latino,1,25-34,110.0,30%-<36%,2,395000.0,96.5,6.75,1.43,2,1,1,405000,1,86.57,1,10
3,White,Ethnicity Not Available,2,25-34,102.0,>60%,2,645000.0,80.0,,,1,1,1,815000,1,16.54,1,1
1,White,Not Hispanic or Latino,1,55-64,539.0,20%-<30%,2,545000.0,80.0,5.25,-0.481,1,1,1,685000,1,18.7,1,10
1,White,Not Hispanic or Latino,1,25-34,81.0,30%-<36%,3,265000.0,80.0,7.125,0.149,1,1,1,335000,1,29.72,1,10
1,White,Joint,1,<25,72.0,48,3,175000.0,38.889,7.125,0.959,1,1,1,455000,1,26.63,1,10
1,White,Not Hispanic or Latino,1,45-54,158.0,20%-<30%,3,305000.0,92.424,6.25,0.046,1,1,1,335000,1,29.37,1,10
1,White,Not Hispanic or Latino,2,45-54,71.0,43,1,245000.0,80.0,6.125,-0.268,1,1,1,315000,1,20.49,1,10
1,White,Hispanic or Latino,2,35-44,78.0,47,2,195000.0,95.0,6.125,0.057,1,1,1,215000,1,24.18,1,10
1,White,Not Hispanic or Latino,2,25-34,118.0,46,1,265000.0,80.0,6.5,-0.041,1,1,1,335000,1,22.13,1,10
1,White,Ethnicity Not Available,2,45-54,234.0,43,2,565000.0,80.0,4.75,-0.441,1,1,1,705000,1,13.87,1,10
3,White,Hispanic or Latino,2,25-34,60.0,46,2,165000.0,94.857,,,1,1,1,175000,1,42.03,1,4
1,White,Not Hispanic or Latino,2,35-44,123.0,30%-<36%,2,325000.0,84.536,6.5,0.321,1,1,1,385000,1,34.93,1,10
1,White,Not Hispanic or Latino,2,55-64,86.0,41,3,155000.0,43.662,6.0,-0.356,1,1,1,355000,1,28.27,1,10
1,White,Hispanic or Latino,2,55-64,238.0,30%-<36%,3,215000.0,54.989,4.75,-0.463,1,1,1,395000,1,29.72,1,10
4,White,Not Hispanic or Latino,1,45-54,325.0,,9,285000.0,,,,1,1,1,,1,63.55,1,10
1,White,Not Hispanic or Latino,1,<25,126.0,<20%,1,235000.0,74.0,6.5,0.317,1,1,1,315000,1,26.63,1,10
1,White,Not Hispanic or Latino,1,35-44,173.0,20%-<30%,1,345000.0,80.0,6.25,-0.225,1,1,1,425000,1,50.53,1,10
2,White,Not Hispanic or Latino,2,55-64,73.0,,9,265000.0,,6.125,-0.27,1,1,1,,1,13.87,2,10
1,White,Not Hispanic or Latino,1,25-34,81.0,44,3,225000.0,80.0,6.125,0.412,1,1,1,285000,1,48.78,1,10
1,White,Not Hispanic or Latino,2,55-64,74.0,41,3,265000.0,56.522,5.625,-0.392,1,1,1,465000,1,13.87,2,10
1,Black or African American,Hispanic or Latino,1,45-54,196.0,20%-<30%,1,425000.0,90.0,5.75,-0.314,1,1,1,475000,1,21.82,1,10
4,Asian,Not Hispanic or Latino,2,45-54,252.0,,9,105000.0,,,,1,1,1,,3,42.75,1,10
1,White,Not Hispanic or Latino,1,45-54,330.0,20%-<30%,3,595000.0,80.0,4.75,-0.532,1,1,1,745000,1,26.05,1,10
1,White,Not Hispanic or Latino,1,45-54,368.0,20%-<30%,1,485000.0,80.0,5.875,0.213,1,1,1,605000,1,50.53,1,10
1,White,Not Hispanic or Latino,2,25-34,152.0,20%-<30%,1,255000.0,80.0,5.75,-0.577,1,1,1,315000,1,30.71,1,10
1,White,Not Hispanic or Latino,1,65-74,159.0,30%-<36%,1,385000.0,80.0,4.25,-0.615,1,1,1,475000,1,13.74,1,10
1,White,Not Hispanic or Latino,1,35-44,169.0,30%-<36%,1,465000.0,70.015,4.875,-0.008,1,1,1,665000,1,47.96,1,10
4,White,Not Hispanic or Latino,2,25-34,64.0,,9,245000.0,,,,1,1,1,,3,48.78,6,10
1,White,Not Hispanic or Latino,1,35-44,57.0,20%-<30%,2,85000.0,39.024,5.0,0.006,1,1,1,205000,1,20.49,1,10
1,White,Not Hispanic or Latino,2,25-34,,30%-<36%,3,295000.0,96.721,6.375,0.414,1,1,1,305000,1,20.49,1,10
1,White,Not Hispanic or Latino,2,35-44,68.0,38,1,165000.0,74.771,6.0,0.141,1,1,1,215000,1,38.57,1,10
1,Joint,Hispanic or Latino,1,35-44,264.0,36,3,485000.0,80.0,4.875,-0.702,1,1,1,605000,1,20.03,1,10
1,White,Not Hispanic or Latino,2,35-44,157.0,40,1,365000.0,97.0,6.875,0.718,1,1,1,375000,1,20.03,1,10
1,White,Not Hispanic or Latino,2,35-44,164.0,45,1,445000.0,77.504,5.125,-0.292,1,1,1,575000,1,24.18,1,10
4,White,Not Hispanic or Latino,1,45-54,162.0,,9,485000.0,,,,1,1,1,,1,20.95,1,10
2,White,Not Hispanic or Latino,1,35-44,,36,3,465000.0,88.626,4.625,-0.765,1,1,1,525000,1,24.38,1,10
1,White,Hispanic or Latino,1,25-34,72.0,30%-<36%,1,215000.0,90.0,6.5,0.123,1,1,1,245000,1,29.58,1,10
1,White,Not Hispanic or Latino,1,35-44,74.0,20%-<30%,3,225000.0,79.787,5.75,-0.751,1,1,1,285000,1,29.72,1,10
1,White,Not Hispanic or Latino,2,25-34,208.0,20%-<30%,2,415000.0,90.0,5.25,-0.362,1,1,1,455000,1,20.03,1,10
1,Black or African American,Ethnicity Not Available,1,55-64,91.0,45,1,205000.0,90.0,6.5,0.491,1,1,1,225000,1,63.55,2,10
1,White,Not Hispanic or Latino,2,45-54,123.0,<20%,2,165000.0,95.0,4.75,-0.401,1,1,1,175000,1,24.38,1,10
1,White,Not Hispanic or Latino,2,45-54,142.0,46,3,285000.0,66.279,4.875,-0.234,1,1,1,435000,1,38.57,1,10
1,Asian,Not Hispanic or Latino,2,25-34,107.0,20%-<30%,1,225000.0,80.0,4.75,-0.528,1,1,1,275000,1,39.09,1,10
1,White,Not Hispanic or Latino,1,>74,85.0,49,3,125000.0,29.412,4.125,-0.533,1,1,1,425000,1,42.75,1,10
1,Asian,Not Hispanic or Latino,1,25-34,121.0,41,3,345000.0,90.0,4.625,-0.6,1,1,1,385000,1,25.21,1,10
1,White,Not Hispanic or Latino,1,45-54,116.0,47,1,325000.0,90.0,6.625,0.236,1,1,1,365000,1,20.95,1,10
1,White,Not Hispanic or Latino,1,25-34,217.0,30%-<36%,1,445000.0,95.0,6.125,0.262,1,1,1,465000,1,53.93,1,10
2,White,Not Hispanic or Latino,2,35-44,156.0,30%-<36%,3,125000.0,28.571,4.5,-0.936,1,1,1,425000,1,14.22,1,10
1,White,Not Hispanic or Latino,1,25-34,182.0,44,1,525000.0,70.0,5.0,-0.652,1,1,1,755000,1,26.05,1,10
4,White,Not Hispanic or Latino,2,35-44,143.0,,9,185000.0,,,,1,1,1,,3,28.27,1,10
1,White,Not Hispanic or Latino,1,25-34,116.0,30%-<36%,1,305000.0,88.539,4.875,-0.529,1,1,1,345000,1,28.84,1,10
4,Joint,Not Hispanic or Latino,1,35-44,107.0,,9,305000.0,,,,2,1,1,,1,42.03,2,10
1,Black or African American,Not Hispanic or Latino,2,55-64,125.0,30%-<36%,3,275000.0,50.0,4.75,-0.681,1,1,1,545000,1,22.13,1,10
1,Asian,Not Hispanic or Latino,1,55-64,72.0,48,1,325000.0,72.727,5.5,-0.874,1,1,1,445000,1,34.93,1,10
1,White,Not Hispanic or Latino,2,25-34,105.0,36,1,235000.0,95.0,5.125,-0.159,1,1,1,245000,1,38.57,1,10
3,White,Not Hispanic or Latino,1,25-34,184.0,20%-<30%,3,485000.0,82.0,,,1,1,1,595000,1,20.01,1,7
4,White,Not Hispanic or Latino,1,25-34,143.0,,9,275000.0,,,,1,1,1,,1,20.03,1,10
1,White,Not Hispanic or Latino,2,25-34,61.0,36,1,145000.0,80.0,5.125,-0.451,1,1,1,185000,1,34.8,1,10
1,White,Not Hispanic or Latino,1,45-54,155.0,47,3,375000.0,64.414,5.25,-0.526,1,1,1,585000,1,20.49,1,10
1,White,Not Hispanic or Latino,1,25-34,54.0,44,3,125000.0,104.692,6.125,0.405,1,1,1,135000,1,42.75,1,10
1,White,Not Hispanic or Latino,1,45-54,215.0,20%-<30%,2,505000.0,80.0,5.875,-0.131,1,1,1,635000,1,34.1,1,10
1,White,Not Hispanic or Latino,1,25-34,108.0,50%-60%,1,285000.0,96.5,6.625,0.829,2,1,1,295000,1,34.1,3,10
1,White,Not Hispanic or Latino,1,35-44,,20%-<30%,1,465000.0,80.0,4.375,-0.535,1,1,1,575000,1,20.03,1,10
1,White,Hispanic or Latino,2,45-54,90.0,37,1,335000.0,86.842,6.0,-0.151,1,1,1,385000,1,29.72,1,10
1,White,Not Hispanic or Latino,1,25-34,97.0,30%-<36%,2,275000.0,80.0,4.5,-0.451,1,1,1,345000,1,29.72,1,10
1,White,Not Hispanic or Latino,1,25-34,170.0,20%-<30%,2,385000.0,95.0,4.875,-0.119,1,1,1,405000,1,20.01,1,10
1,White,Not Hispanic or Latino,2,35-44,210.0,41,1,405000.0,96.5,6.625,0.951,2,1,1,415000,1,24.38,3,10
1,White,Not Hispanic or Latino,1,55-64,59.0,48,1,265000.0,80.0,4.75,-0.284,1,1,1,325000,1,26.63,1,10
1,White,Joint,1,<25,,30%-<36%,3,215000.0,95.0,4.5,-0.655,1,1,1,225000,1,28.27,1,10
4,White,Joint,1,55-64,114.0,,9,305000.0,,,,1,1,1,,1,42.03,6,10
4,Black or African American,Not Hispanic or Latino,2,35-44,194.0,,9,105000.0,,,,1,1,1,,1,29.72,6,10
4,White,Not Hispanic or Latino,2,25-34,76.0,,9,325000.0,,,,1,1,1,,1,34.8,1,10
1,White,Not Hispanic or Latino,2,35-44,220.0,20%-<30%,2,525000.0,80.0,6.5,0.015,1,1,1,655000,1,13.89,1,10
3,White,Not Hispanic or Latino,1,55-64,102.0,40,2,325000.0,80.0,,,1,1,1,415000,1,13.74,1,3
1,White,Not Hispanic or Latino,1,35-44,83.0,20%-<30%,1,205000.0,80.0,5.5,-0.596,1,1,1,265000,1,21.56,1,10
1,White,Not Hispanic or Latino,2,25-34,200.0,20%-<30%,1,445000.0,76.522,6.25,-0.029,1,1,1,575000,1,14.22,1,10
1,White,Not Hispanic or Latino,1,25-34,126.0,42,2,335000.0,94.286,4.5,-0.671,1,1,1,355000,1,46.63,1,10
1,Black or African American,Not Hispanic or Latino,1,45-54,79.0,50%-60%,3,355000.0,100.0,6.875,0.753,3,1,1,345000,1,78.45,2,10
1,White,Not Hispanic or Latino,1,25-34,175.0,20%-<30%,2,285000.0,97.0,6.625,0.898,1,1,1,295000,1,48.78,1,10
1,White,Not Hispanic or Latino,1,25-34,100.0,46,2,325000.0,80.0,7.0,0.634,1,1,1,405000,1,37.64,1,10
1,White,Not Hispanic or Latino,1,25-34,154.0,20%-<30%,1,265000.0,96.393,6.625,1.131,2,1,1,275000,1,25.14,3,10
1,White,Not Hispanic or Latino,1,35-44,,43,3,505000.0,89.286,4.625,-0.297,1,1,1,565000,1,21.56,1,10
1,White,Not Hispanic or Latino,2,55-64,135.0,30%-<36%,3,285000.0,80.0,6.375,0.099,1,1,1,355000,1,18.7,1,10
1,White,Not Hispanic or Latino,1,25-34,180.0,49,1,455000.0,80.0,4.625,-0.684,1,1,1,575000,1,34.93,1,10
4,White,Not Hispanic or Latino,1,45-54,176.0,,9,465000.0,,,,1,1,1,,1,29.72,1,10
1,White,Not Hispanic or Latino,1,55-64,114.0,42,3,305000.0,85.714,4.625,-0.694,1,1,1,355000,1,42.03,1,10
4,Asian,Hispanic or Latino,1,25-34,115.0,,9,265000.0,,,,1,1,1,,1,20.49,1,10
3,White,Hispanic or Latino,2,<25,68.0,50%-60%,3,225000.0,97.0,,,1,1,1,225000,1,31.76,2,7
1,White,Not Hispanic or Latino,1,25-34,105.0,40,3,345000.0,80.0,4.375,-0.776,1,1,1,425000,1,29.72,1,10
5,White,Not Hispanic or Latino,1,55-64,47.0,,9,165000.0,,,,1,1,1,,1,21.9,1,10
1,White,Not Hispanic or Latino,2,35-44,240.0,20%-<30%,1,405000.0,80.0,6.25,0.151,1,1,1,505000,1,25.14,1,10
4,White,Not Hispanic or Latino,2,25-34,197.0,,9,365000.0,,,,1,1,1,,1,28.84,1,10
1,White,Not Hispanic or Latino,2,35-44,,20%-<30%,1,195000.0,29.276,6.25,-0.435,1,1,1,645000,1,34.93,1,10
1,White,Not Hispanic or Latino,1,>74,76.0,30%-<36%,1,185000.0,80.0,6.75,0.082,1,1,1,225000,1,53.93,1,10
1,White,Not Hispanic or Latino,1,25-34,101.0,43,2,215000.0,97.0,6.5,0.286,1,1,1,225000,1,33.23,1,10
1,White,Hispanic or Latino,1,35-44,52.0,45,2,175000.0,95.0,6.625,-0.003,1,1,1,185000,1,86.57,2,10
1,White,Not Hispanic or Latino,1,35-44,337.0,<20%,1,485000.0,80.0,4.875,-0.575,1,1,1,615000,1,47.96,1,10
1,White,Not Hispanic or Latino,1,25-34,100.0,45,2,285000.0,94.915,6.625,0.467,1,1,1,295000,1,35.04,1,10
1,White,Not Hispanic or Latino,2,55-64,165.0,30%-<36%,3,425000.0,80.0,6.75,0.1,1,1,1,535000,1,14.83,1,10
1,White,Not Hispanic or Latino,2,45-54,112.0,42,3,335000.0,80.0,6.625,-0.007,1,1,1,425000,1,53.93,1,10
3,White,Not Hispanic or Latino,1,35-44,176.0,50%-60%,3,365000.0,80.0,,,1,1,1,455000,1,37.64,1,7
1,White,Not Hispanic or Latino,1,55-64,828.0,<20%,3,575000.0,74.026,5.875,-0.101,1,1,1,775000,1,12.78,1,10
4,White,Not Hispanic or Latino,2,25-34,94.0,,9,335000.0,,,,1,1,1,,1,29.37,1,10
1,White,Not Hispanic or Latino,1,35-44,76.0,39,3,135000.0,98.0,6.75,0.821,1,1,1,135000,1,50.53,5,10
3,White,Not Hispanic or Latino,1,<25,57.0,>60%,1,215000.0,61.429,,,1,1,1,355000,1,13.87,1,1
1,White,Not Hispanic or Latino,2,25-34,75.0,44,2,285000.0,75.676,6.0,-0.707,1,1,1,375000,1,42.03,1,10
1,White,Ethnicity Not Available,1,55-64,167.0,20%-<30%,1,355000.0,84.048,6.625,0.474,1,1,1,425000,1,34.8,1,10
1,White,Not Hispanic or Latino,2,55-64,109.0,37,3,345000.0,90.0,5.625,-0.221,1,1,1,385000,1,42.03,1,10
4,White,Not Hispanic or Latino,2,25-34,183.0,,9,315000.0,,,,1,1,1,,1,21.56,1,10
1,White,Not Hispanic or Latino,1,35-44,250.0,30%-<36%,2,405000.0,85.0,7.25,0.46,1,1,1,475000,1,13.3,1,10
1,White,Not Hispanic or Latino,1,25-34,86.0,45,2,285000.0,100.0,7.125,0.558,3,1,1,275000,1,13.39,2,10
1,White,Not Hispanic or Latino,1,25-34,185.0,20%-<30%,1,325000.0,80.0,6.375,0.218,1,1,1,415000,1,24.38,1,10
1,Black or African American,Joint,2,45-54,223.0,30%-<36%,3,355000.0,95.0,6.5,-0.092,1,1,1,375000,1,35.04,1,10
1,Joint,Joint,1,25-34,117.0,30%-<36%,2,275000.0,95.0,4.625,-0.387,1,1,1,285000,1,34.99,1,10
1,Black or African American,Not Hispanic or Latino,2,25-34,78.0,42,1,175000.0,89.75,6.625,0.114,1,1,1,205000,1,47.96,7,10
4,Black or African American,Hispanic or Latino,2,55-64,55.0,,9,225000.0,,,,1,1,1,,1,48.78,1,10
1,White,Hispanic or Latino,1,45-54,118.0,49,2,325000.0,94.282,6.625,-0.191,1,1,1,345000,1,50.53,2,10
1,White,Not Hispanic or Latino,1,55-64,128.0,30%-<36%,2,145000.0,32.584,6.75,0.146,1,1,1,445000,1,30.06,1,10
1,White,Not Hispanic or Latino,1,35-44,260.0,30%-<36%,2,615000.0,80.0,6.0,-0.356,1,1,1,765000,1,25.21,1,10
1,White,Not Hispanic or Latino,3,55-64,172.0,48,2,345000.0,63.0,6.5,-0.173,1,1,1,545000,1,20.95,1,10
1,White,Not Hispanic or Latino,2,45-54,75.0,44,2,225000.0,85.0,6.875,-0.072,1,1,1,265000,1,24.18,1,10
4,White,Not Hispanic or Latino,1,45-54,45.0,,9,275000.0,,,,1,1,1,,1,12.78,1,10
1,White,Not Hispanic or Latino,1,35-44,106.0,37,3,365000.0,90.0,6.5,-0.219,1,1,1,405000,1,30.71,1,10
1,White,Not Hispanic or Latino,1,55-64,97.0,44,2,365000.0,72.056,6.5,0.133,1,1,1,505000,1,33.23,1,10
1,White,Not Hispanic or Latino,2,55-64,215.0,36,2,505000.0,84.027,6.5,0.142,1,1,1,605000,1,39.09,1,10
1,White,Not Hispanic or Latino,2,35-44,208.0,20%-<30%,2,435000.0,80.0,6.5,0.039,1,1,1,545000,1,28.19,1,10
4,White,Not Hispanic or Latino,1,25-34,,,9,145000.0,,,,1,1,1,,1,20.49,1,10
1,White,Not Hispanic or Latino,2,25-34,,30%-<36%,2,325000.0,92.857,7.0,-0.076,1,1,1,355000,1,29.72,1,10
1,White,Joint,2,45-54,103.0,20%-<30%,1,275000.0,87.302,6.625,0.125,1,1,1,315000,1,26.63,1,10
1,White,Hispanic or Latino,2,35-44,38.0,46,3,125000.0,39.063,6.75,-0.134,1,1,1,325000,1,26.05,1,10
1,White,Not Hispanic or Latino,1,55-64,259.0,30%-<36%,1,405000.0,60.606,6.375,-0.113,1,1,1,665000,1,29.72,1,10
1,White,Not Hispanic or Latino,2,35-44,310.0,46,1,245000.0,44.954,7.375,0.271,1,1,1,545000,1,29.72,1,10
1,White,Not Hispanic or Latino,1,35-44,71.0,39,3,195000.0,95.0,7.875,0.417,1,1,1,205000,1,38.57,1,10
1,White,Not Hispanic or Latino,2,25-34,94.0,47,1,335000.0,95.0,6.375,0.367,1,1,1,355000,1,29.37,2,10
1,White,Not Hispanic or Latino,2,25-34,153.0,20%-<30%,2,235000.0,80.0,6.5,0.193,1,1,1,295000,1,30.06,1,10
1,White,Not Hispanic or Latino,1,35-44,236.0,41,1,505000.0,92.455,6.375,0.152,1,1,1,555000,1,22.45,1,10
1,White,Not Hispanic or Latino,2,35-44,115.0,36,1,315000.0,90.0,7.125,0.153,1,1,1,355000,1,29.37,2,10
1,White,Not Hispanic or Latino,1,35-44,83.0,43,3,315000.0,80.0,6.5,-0.28,1,1,1,395000,1,39.09,1,10
1,White,Not Hispanic or Latino,1,>74,332.0,20%-<30%,3,445000.0,90.0,6.5,0.329,1,1,1,495000,1,50.53,1,10
1,White,Not Hispanic or Latino,2,35-44,141.0,30%-<36%,2,385000.0,88.493,6.375,0.009,1,1,1,435000,1,34.99,1,10
1,White,Not Hispanic or Latino,1,45-54,173.0,<20%,1,195000.0,90.0,6.875,0.369,1,1,1,225000,1,31.76,1,10
1,White,Not Hispanic or Latino,1,<25,153.0,30%-<36%,3,355000.0,95.0,7.875,0.799,1,1,1,375000,1,29.83,1,10
4,White,Not Hispanic or Latino,1,25-34,166.0,,9,345000.0,,,,1,1,1,,1,20.03,1,10
1,White,Not Hispanic or Latino,1,35-44,97.0,47,3,345000.0,88.55,7.125,0.211,1,1,1,395000,1,20.01,1,10
3,Black or African American,Ethnicity Not Available,2,55-64,156.0,50%-60%,3,305000.0,78.947,,,1,1,1,385000,1,37.64,1,3
1,White,Not Hispanic or Latino,2,25-34,151.0,30%-<36%,3,455000.0,95.0,7.625,0.388,1,1,1,485000,1,18.81,2,10
1,White,Not Hispanic or Latino,2,55-64,137.0,38,1,325000.0,84.416,7.625,0.031,1,1,1,385000,1,34.1,1,10
1,White,Ethnicity Not Available,1,35-44,121.0,<20%,1,205000.0,58.824,6.375,-0.15,1,1,1,345000,1,24.38,1,10
1,White,Not Hispanic or Latino,1,35-44,117.0,30%-<36%,1,245000.0,95.0,7.125,0.247,1,1,1,255000,1,34.93,1,10
1,White,Not Hispanic or Latino,1,35-44,96.0,43,1,355000.0,90.0,7.875,0.351,1,1,1,395000,1,25.57,1,10
1,Black or African American,Not Hispanic or Latino,1,25-34,54.0,37,1,85000.0,92.821,7.25,0.382,1,1,1,95000,1,50.53,7,10
1,Asian,Not Hispanic or Latino,1,35-44,218.0,20%-<30%,3,305000.0,54.645,6.875,-0.092,1,1,1,545000,1,37.64,1,10
1,White,Not Hispanic or Latino,2,45-54,141.0,30%-<36%,3,405000.0,94.186,7.375,0.666,1,1,1,435000,1,28.19,1,10
1,White,Joint,2,25-34,162.0,20%-<30%,3,315000.0,94.776,7.625,0.758,1,1,1,335000,1,30.71,1,10
2,Asian,Not Hispanic or Latino,2,35-44,210.0,<20%,3,335000.0,73.333,7.375,0.139,1,1,1,455000,1,29.72,1,10
1,White,Not Hispanic or Latino,1,35-44,193.0,20%-<30%,3,425000.0,80.0,6.875,-0.136,1,1,1,535000,1,26.05,1,10
3,White,Not Hispanic or Latino,1,35-44,435.0,20%-<30%,3,605000.0,86.25,,,1,1,1,705000,1,14.83,1,4
1,White,Not Hispanic or Latino,1,55-64,64.0,43,1,255000.0,62.5,7.25,-0.426,1,1,1,405000,1,30.06,1,10
1,White,Not Hispanic or Latino,1,55-64,120.0,47,1,395000.0,71.56,6.75,-0.091,1,1,1,545000,1,20.49,1,10
1,Asian,Not Hispanic or Latino,2,25-34,68.0,44,1,225000.0,73.333,6.5,-0.185,1,1,1,305000,1,20.95,1,10
2,White,Joint,1,65-74,99.0,,9,325000.0,,6.25,-0.717,1,1,1,,1,29.72,1,10
1,White,Not Hispanic or Latino,2,25-34,144.0,38,3,455000.0,79.965,7.25,0.195,1,1,1,575000,1,29.83,1,10
1,White,Not Hispanic or Latino,2,45-54,38.0,30%-<36%,2,65000.0,25.806,6.5,-0.289,1,1,1,235000,1,22.45,1,10
1,White,Not Hispanic or Latino,1,35-44,122.0,20%-<30%,3,305000.0,70.0,7.0,-0.074,1,1,1,435000,1,18.81,1,10
1,White,Not Hispanic or Latino,2,35-44,210.0,41,3,455000.0,95.0,7.125,0.214,1,1,1,485000,1,13.39,6,10
1,White,Not Hispanic or Latino,1,55-64,275.0,30%-<36%,1,285000.0,80.0,7.375,0.232,1,1,1,355000,1,26.63,1,10
1,Asian,Not Hispanic or Latino,2,35-44,210.0,<20%,3,335000.0,73.333,6.75,-0.129,1,1,1,455000,1,29.72,1,10
4,Black or African American,Hispanic or Latino,1,35-44,79.0,,9,285000.0,,,,1,1,1,,1,62.35,1,10
4,White,Not Hispanic or Latino,2,25-34,157.0,,9,395000.0,,,,1,1,1,,1,34.1,1,10
4,Black or African American,Not Hispanic or Latino,2,35-44,47.0,,9,905000.0,,,,1,1,1,,1,24.18,1,10
4,Black or African American,Not Hispanic or Latino,2,25-34,52.0,,9,105000.0,,,,1,1,1,,1,33.23,1,10
1,White,Not Hispanic or Latino,1,25-34,79.0,42,1,225000.0,80.0,6.625,-0.265,1,1,1,285000,1,29.83,1,10
3,White,Not Hispanic or Latino,2,55-64,53.0,>60%,8,285000.0,86.154,,,1,1,1,325000,1,28.19,6,1
4,White,Not Hispanic or Latino,2,>74,130.0,,9,405000.0,,,,1,1,1,,1,30.71,6,10
1,White,Not Hispanic or Latino,2,45-54,202.0,30%-<36%,3,485000.0,79.735,7.5,0.932,2,1,1,595000,1,20.03,3,10
1,White,Not Hispanic or Latino,1,35-44,170.0,49,3,435000.0,80.0,7.625,0.838,1,1,1,545000,1,18.7,2,10
5,White,Hispanic or Latino,1,25-34,111.0,,9,325000.0,,,,1,1,1,,1,78.45,6,10
1,White,Not Hispanic or Latino,2,55-64,173.0,20%-<30%,1,265000.0,65.0,7.125,0.478,1,1,1,415000,1,29.58,1,10
